emp;uni;uni_fabril;bitola;formato;tipologia;un;descricao;sit;lote
1;41;SC4;6615;80X80;PORC GL;M2;PORC UGL 80X80 PO;LB;2000
1;41;SC4;6580;60X120;PORC GL;M2;PORC GL 60X120 PO;LB;2000
1;41;SC4;6594;60X120;PORC GL;M2;GRES 60X120 PO;LB;2000
1;41;SC4;5258;30X60;PORC GL;M2;PORC UGL 30X60 NA IV;LB;2000
1;41;SC4;5259;30X60;PORC GL;M2;PORC UGL 30X60 PO IV;LB;2000
1;41;SC4;6590;60X120;PORC GL;M2;PORC UGL 60X120 PO;LB;2000
1;41;SC4;6065;60X60;PORC GL;M2;PORC UGL 60X60 11MM;LB;2000
1;41;SC4;6066;60X60;PORC GL;M2;PORC UGL 60X60 PO/I;LB;2000
1;41;SC4;6478;90X90;PORC GL;M2;PUGL 90X90 PO 9,2MM;LB;2000
1;41;SC4;6618;19,7X120;PORC GL;M2;PORC UGL 19,7X120;LB;2000
1;41;SC4;6602;60X120;PORC GL;M2;PORC UGL 60X120;LB;2000
1;41;SC4;6479;90X90;PORC GL;M2;PUGL 90X90 PO 10MM;LB;2000
44;1;SC5;7232;84X84;PORC GL;M2;PORC GL 84X84 SC5;LB;2000
44;1;SC5;7367;84X84;PORC GL;M2;PGL 84X84 PO SC5/1;LB;2000
44;1;SC5;6617;50X100;PORC GL;M2;PORC GL 50X100;LB;2000
44;1;SC5;7158;49X99;PORC GL;M2;PORC GL 49X99 PO ESU;LB;2000
44;1;SC5;6577;84X84;PORC GL;M2;PORC GL 84X84 SC5;LB;2000
44;1;SC5;6905;60X60;PORC GL;M2;PORC GL 60X60 PO;LB;2000
44;1;SC5;6960;60X60;PORC GL;M2;PORC GL 60X60 RET;LB;2000
44;1;SC5;6898;60X120;PORC GL;M2;PORC GL 60X120;LB;2000
44;1;SC5;7177;49X99;PORC GL;M2;GRES 49X99 PO ESU;LB;2000
44;1;SC5;6901;60X60;PORC GL;M2;PORC GL 60X60;LB;2000
44;1;SC5;6904;60X60;PORC GL;M2;GRES 60X60 PO;LB;2000
44;1;SC5;7427;84X84;PORC GL;M2;GRES 84X84 POL SC 5;LB;2000
44;1;SC5;6899;60X120;PORC GL;M2;PORC GL 60X120 PO;LB;2000
44;1;SC5;6896;60X120;PORC GL;M2;GRES 60X120;LB;2000
44;1;SC5;6961;60X60;PORC GL;M2;PORC GL 60X60 RET PO;LB;2000
44;1;SC5;6897;60X120;PORC GL;M2;GRES 60X120 PO;LB;2000
44;1;SC5;7491;84X84;PORC GL;M2;PORC GL 84X84 SC5/1;LB;2000
44;1;SC5;7234;84X84;PORC GL;M2;PORC GL 84X84 PO SC5;LB;2000
